iter	Passed	Remaining
0	144	143984
1	145	72406
2	145	48434
3	146	36442
4	150	29990
5	151	25121
6	152	21606
7	152	18969
8	153	16950
9	154	15334
10	155	14021
11	156	12901
12	157	11946
13	158	11138
14	158	10431
15	159	9809
16	160	9268
17	160	8780
18	161	8362
19	165	8105
20	166	7753
21	167	7436
22	168	7168
23	169	6909
24	170	6664
25	171	6437
26	172	6222
27	173	6029
28	174	5842
29	175	5664
30	175	5497
31	177	5361
32	179	5256
33	181	5147
34	182	5022
35	183	4921
36	184	4802
37	185	4690
38	185	4581
39	186	4480
40	187	4384
41	188	4292
42	188	4205
43	189	4119
44	190	4036
45	190	3957
46	192	3898
47	195	3873
48	196	3805
49	196	3737
50	197	3675
51	198	3623
52	199	3564
53	200	3507
54	200	3452
55	201	3397
56	202	3347
57	202	3296
58	203	3247
59	204	3202
60	204	3155
61	205	3111
62	206	3069
63	207	3037
64	208	3001
65	209	2966
66	210	2928
67	210	2890
68	211	2853
69	212	2817
70	212	2783
71	215	2772
72	215	2741
73	216	2709
74	217	2678
75	217	2648
76	218	2618
77	219	2589
78	219	2560
79	220	2533
80	220	2506
81	222	2496
82	223	2470
83	224	2452
84	225	2427
85	226	2404
86	227	2383
87	227	2362
88	228	2343
89	229	2322
90	230	2303
91	231	2281
92	231	2261
93	232	2241
94	233	2221
95	233	2201
96	234	2181
97	235	2162
98	235	2144
99	236	2127
100	238	2120
101	239	2106
102	240	2090
103	240	2073
104	241	2056
105	242	2046
106	243	2032
107	244	2017
108	244	2002
109	245	1987
110	246	1974
111	247	1959
112	247	1944
113	248	1930
114	248	1915
115	249	1901
116	249	1886
117	250	1872
118	251	1864
119	253	1859
120	254	1847
121	254	1833
122	255	1822
123	256	1810
124	256	1798
125	257	1788
126	258	1779
127	259	1768
128	260	1757
129	261	1747
130	261	1736
131	262	1726
132	263	1714
133	263	1704
134	264	1693
135	264	1683
136	266	1677
137	267	1669
138	268	1666
139	269	1656
140	270	1646
141	270	1635
142	271	1629
143	272	1620
144	273	1610
145	273	1601
146	275	1598
147	276	1591
148	277	1586
149	278	1577
150	279	1569
151	279	1560
152	282	1562
153	283	1559
154	284	1550
155	285	1542
156	285	1534
157	287	1529
158	287	1522
159	288	1514
160	288	1505
161	289	1496
162	289	1488
163	290	1481
164	291	1474
165	291	1466
166	292	1458
167	293	1451
168	293	1444
169	294	1437
170	295	1430
171	296	1426
172	297	1422
173	298	1417
174	299	1410
175	299	1403
176	301	1399
177	301	1394
178	302	1388
179	303	1382
180	304	1375
181	304	1369
182	305	1363
183	306	1357
184	306	1351
185	307	1344
186	307	1338
187	308	1332
188	309	1327
189	311	1325
190	311	1321
191	313	1317
192	313	1311
193	314	1305
194	314	1299
195	315	1295
196	316	1290
197	317	1284
198	317	1279
199	318	1274
200	319	1269
201	319	1263
202	320	1258
203	321	1252
204	321	1247
205	322	1241
206	322	1236
207	323	1231
208	323	1225
209	324	1220
210	325	1217
211	326	1214
212	327	1211
213	328	1206
214	329	1201
215	329	1196
216	330	1191
217	330	1186
218	331	1183
219	332	1179
220	333	1175
221	334	1170
222	334	1166
223	335	1161
224	336	1157
225	336	1152
226	337	1148
227	337	1144
228	338	1139
229	339	1135
230	339	1131
231	341	1130
232	342	1128
233	343	1124
234	344	1120
235	344	1116
236	345	1111
237	345	1107
238	346	1103
239	347	1099
240	348	1096
241	348	1092
242	349	1088
243	350	1085
244	350	1081
245	351	1077
246	352	1074
247	353	1070
248	353	1066
249	354	1062
250	356	1063
251	357	1062
252	358	1058
253	359	1055
254	359	1051
255	360	1048
256	362	1047
257	364	1046
258	365	1046
259	366	1043
260	367	1040
261	368	1036
262	368	1033
263	369	1030
264	372	1034
265	373	1031
266	374	1028
267	375	1025
268	377	1025
269	378	1023
270	379	1020
271	380	1017
272	380	1014
273	381	1012
274	382	1009
275	383	1006
276	386	1007
277	387	1006
278	389	1006
279	390	1003
280	391	1002
281	393	1002
282	394	999
283	395	996
284	396	993
285	396	990
286	397	987
287	398	984
288	399	981
289	400	979
290	400	976
291	402	975
292	403	972
293	403	969
294	404	966
295	404	963
296	405	959
297	406	957
298	407	954
299	407	951
300	408	948
301	409	945
302	409	942
303	410	939
304	411	936
305	411	933
306	412	930
307	413	928
308	413	925
309	414	922
310	415	919
311	415	917
312	416	914
313	417	912
314	418	909
315	418	906
316	419	903
317	420	900
318	420	898
319	421	895
320	422	892
321	422	890
322	423	887
323	424	884
324	424	881
325	425	879
326	425	876
327	426	873
328	427	871
329	427	868
330	428	866
331	429	863
332	429	860
333	430	858
334	431	856
335	432	853
336	432	851
337	433	848
338	434	846
339	434	843
340	435	841
341	436	839
342	436	837
343	437	834
344	438	831
345	438	829
346	439	826
347	440	824
348	440	821
349	441	819
350	441	816
351	442	814
352	443	811
353	443	809
354	444	806
355	444	804
356	445	802
357	446	800
358	447	798
359	447	796
360	448	794
361	449	791
362	450	789
363	450	787
364	451	785
365	451	782
366	452	780
367	453	778
368	453	776
369	454	774
370	455	771
371	455	769
372	456	767
373	457	765
374	457	762
375	458	760
376	458	758
377	459	756
378	460	754
379	461	753
380	462	750
381	462	748
382	463	746
383	464	744
384	464	742
385	465	739
386	465	737
387	466	735
388	466	733
389	467	731
390	468	729
391	469	727
392	469	725
393	470	723
394	471	721
395	472	719
396	472	717
397	473	715
398	474	714
399	475	713
400	476	711
401	477	709
402	477	708
403	478	706
404	479	704
405	480	702
406	480	700
407	482	700
408	484	700
409	487	701
410	488	699
411	488	697
412	493	701
413	495	701
414	496	699
415	497	697
416	497	696
417	499	695
418	500	694
419	501	693
420	502	691
421	503	689
422	505	689
423	507	690
424	508	688
425	509	686
426	509	684
427	510	682
428	511	680
429	511	678
430	512	676
431	513	674
432	513	672
433	514	671
434	515	669
435	515	667
436	516	665
437	517	663
438	517	661
439	518	659
440	518	657
441	519	656
442	520	655
443	522	654
444	523	652
445	523	650
446	524	648
447	525	647
448	525	645
449	526	643
450	527	641
451	527	640
452	528	638
453	529	636
454	530	635
455	530	633
456	531	631
457	532	629
458	532	628
459	533	626
460	534	624
461	536	625
462	537	623
463	538	622
464	539	620
465	540	619
466	540	617
467	541	615
468	542	614
469	543	612
470	543	610
471	544	609
472	545	607
473	546	605
474	546	604
475	547	602
476	548	601
477	548	599
478	549	597
479	551	597
480	552	596
481	553	594
482	554	593
483	554	591
484	555	589
485	556	588
486	556	586
487	557	584
488	558	583
489	558	581
490	559	580
491	561	579
492	561	577
493	562	576
494	563	574
495	563	573
496	564	571
497	566	570
498	567	569
499	568	568
500	569	567
501	570	565
502	570	564
503	571	562
504	572	560
505	573	559
506	573	557
507	574	556
508	575	555
509	576	553
510	576	552
511	577	550
512	578	549
513	579	547
514	580	546
515	581	545
516	582	544
517	582	542
518	583	541
519	584	539
520	585	538
521	587	537
522	587	536
523	588	534
524	589	533
525	590	531
526	590	530
527	591	528
528	592	527
529	593	526
530	593	524
531	594	523
532	596	522
533	597	521
534	598	519
535	599	518
536	599	517
537	600	515
538	601	514
539	601	512
540	602	511
541	603	509
542	604	508
543	605	507
544	606	506
545	607	504
546	607	503
547	608	502
548	609	500
549	611	500
550	612	498
551	612	497
552	613	495
553	614	494
554	614	492
555	615	491
556	616	489
557	617	489
558	618	488
559	619	486
560	620	485
561	620	483
562	621	482
563	622	480
564	622	479
565	623	477
566	623	476
567	624	474
568	626	474
569	627	473
570	627	471
571	628	470
572	629	469
573	630	467
574	630	466
575	631	465
576	632	463
577	633	462
578	634	461
579	634	459
580	635	458
581	636	456
582	636	455
583	637	454
584	638	452
585	638	451
586	639	449
587	640	448
588	641	447
589	642	446
590	642	444
591	643	443
592	644	442
593	645	441
594	646	439
595	646	438
596	647	437
597	648	435
598	648	434
599	649	433
600	650	431
601	651	430
602	651	429
603	652	427
604	652	426
605	653	424
606	654	423
607	655	422
608	656	421
609	657	420
610	657	418
611	658	417
612	659	416
613	659	414
614	660	413
615	660	412
616	661	410
617	662	409
618	662	408
619	663	406
620	664	405
621	664	404
622	665	402
623	666	401
624	666	400
625	667	398
626	668	397
627	668	396
628	669	394
629	670	394
630	671	392
631	672	391
632	673	390
633	674	389
634	675	388
635	675	386
636	676	385
637	677	384
638	677	382
639	678	381
640	679	380
641	679	379
642	680	377
643	681	376
644	681	375
645	682	373
646	683	372
647	683	371
648	684	370
649	686	369
650	687	368
651	688	367
652	688	366
653	689	364
654	690	363
655	690	362
656	691	361
657	692	359
658	692	358
659	693	357
660	694	355
661	694	354
662	695	353
663	696	352
664	696	350
665	697	349
666	698	348
667	698	347
668	699	346
669	715	352
670	718	352
671	719	351
672	720	350
673	723	349
674	723	348
675	724	347
676	725	346
677	725	344
678	726	343
679	727	342
680	727	340
681	728	339
682	729	338
683	729	337
684	730	335
685	731	334
686	732	333
687	732	332
688	733	331
689	734	329
690	734	328
691	735	327
692	736	326
693	737	325
694	737	323
695	738	322
696	739	321
697	739	320
698	740	318
699	740	317
700	741	316
701	742	315
702	742	313
703	743	312
704	744	311
705	744	310
706	745	308
707	746	307
708	747	306
709	748	305
710	749	304
711	750	303
712	750	302
713	751	301
714	752	299
715	752	298
716	753	297
717	754	296
718	755	295
719	755	293
720	756	292
721	757	291
722	757	290
723	758	289
724	758	287
725	759	286
726	760	285
727	760	284
728	761	282
729	761	281
730	762	280
731	763	279
732	764	278
733	764	277
734	765	275
735	765	274
736	766	273
737	767	272
738	767	271
739	768	269
740	769	268
741	769	267
742	770	266
743	771	265
744	771	264
745	772	263
746	773	261
747	773	260
748	774	259
749	775	258
750	775	257
751	776	256
752	777	254
753	778	253
754	778	252
755	779	251
756	780	250
757	781	249
758	781	248
759	782	247
760	783	245
761	783	244
762	784	243
763	785	242
764	786	241
765	787	240
766	787	239
767	788	238
768	789	237
769	790	236
770	790	234
771	791	233
772	792	232
773	794	231
774	795	230
775	796	230
776	798	229
777	799	228
778	800	227
779	801	226
780	802	224
781	803	223
782	803	222
783	804	221
784	805	220
785	805	219
786	806	218
787	807	217
788	809	216
789	810	215
790	811	214
791	812	213
792	813	212
793	813	211
794	814	210
795	815	208
796	816	207
797	816	206
798	817	205
799	818	204
800	818	203
801	819	202
802	820	201
803	820	200
804	821	198
805	822	197
806	823	196
807	823	195
808	824	194
809	825	193
810	825	192
811	826	191
812	827	190
813	827	189
814	828	188
815	828	186
816	829	185
817	830	184
818	831	183
819	831	182
820	832	181
821	833	180
822	833	179
823	834	178
824	834	177
825	835	176
826	836	174
827	836	173
828	837	172
829	838	171
830	839	170
831	839	169
832	840	168
833	841	167
834	842	166
835	842	165
836	843	164
837	843	163
838	844	162
839	845	161
840	846	159
841	847	158
842	847	157
843	848	156
844	849	155
845	849	154
846	850	153
847	851	152
848	851	151
849	852	150
850	853	149
851	853	148
852	854	147
853	855	146
854	855	145
855	856	144
856	856	142
857	857	141
858	858	140
859	858	139
860	859	138
861	860	137
862	860	136
863	861	135
864	861	134
865	862	133
866	863	132
867	863	131
868	864	130
869	865	129
870	865	128
871	866	127
872	867	126
873	868	125
874	869	124
875	870	123
876	871	122
877	871	121
878	873	120
879	873	119
880	874	118
881	875	117
882	876	116
883	876	115
884	877	114
885	878	113
886	879	111
887	879	110
888	880	109
889	880	108
890	881	107
891	882	106
892	883	105
893	884	104
894	884	103
895	885	102
896	886	101
897	886	100
898	887	99
899	888	98
900	888	97
901	889	96
902	890	95
903	890	94
904	891	93
905	892	92
906	892	91
907	893	90
908	894	89
909	894	88
910	895	87
911	896	86
912	896	85
913	897	84
914	898	83
915	899	82
916	899	81
917	900	80
918	901	79
919	901	78
920	902	77
921	903	76
922	903	75
923	904	74
924	905	73
925	906	72
926	906	71
927	907	70
928	908	69
929	908	68
930	909	67
931	910	66
932	910	65
933	911	64
934	912	63
935	914	62
936	915	61
937	916	60
938	916	59
939	917	58
940	918	57
941	918	56
942	919	55
943	920	54
944	921	53
945	922	52
946	922	51
947	923	50
948	924	49
949	924	48
950	925	47
951	926	46
952	926	45
953	927	44
954	928	43
955	929	42
956	930	41
957	931	40
958	931	39
959	932	38
960	933	37
961	934	36
962	936	35
963	937	34
964	938	34
965	939	33
966	940	32
967	941	31
968	941	30
969	943	29
970	944	28
971	945	27
972	946	26
973	947	25
974	947	24
975	948	23
976	949	22
977	949	21
978	950	20
979	950	19
980	951	18
981	952	17
982	953	16
983	954	15
984	954	14
985	955	13
986	956	12
987	958	11
988	959	10
989	960	9
990	961	8
991	962	7
992	963	6
993	963	5
994	964	4
995	965	3
996	965	2
